run,candidate,sample,changing_total_ms,changing_build_ms,complete_total_ms,clamp_ms,show_ms,corners_ms,border_ms
3,1,34,8.3999000000000006,8.3218999999999994,2.878500,0.072400,2.492700,0.113600,0.199800
3,1,35,5.3109999999999999,5.2263999999999999,3.351500,0.070800,3.038100,0.017500,0.225100
3,1,36,1.1684000000000001,1.0967,2.031200,0.374500,1.343100,0.057200,0.256400
3,1,37,1.0959000000000001,0.8891,1.586100,0.060300,1.373100,0.015500,0.137200
3,1,38,3.6347999999999998,3.5447000000000002,1.523300,0.059300,1.070900,0.052000,0.341100
3,1,39,1.1553,1.0834999999999999,1.058800,0.060600,0.856700,0.012500,0.129000
3,1,40,0.80469999999999997,0.73370000000000002,1.866500,0.072700,1.600500,0.019200,0.174100
3,1,41,0.7591,0.70420000000000005,2.682300,0.074300,2.422400,0.019600,0.166000
3,1,42,0.60209999999999997,0.55089999999999995,2.337500,0.107000,2.018600,0.021400,0.190500
3,1,43,0.58730000000000004,0.53410000000000002,1.457500,0.073700,1.225600,0.016100,0.142100
3,1,44,0.72040000000000004,0.67249999999999999,1.738200,0.072500,1.485200,0.019500,0.161000
3,1,45,0.81820000000000004,0.75670000000000004,2.449000,0.063800,2.199000,0.020600,0.165600
3,1,46,3.5981999999999998,3.516,1.182300,0.069900,0.946700,0.015900,0.149800
3,1,47,4.2259000000000002,4.1417000000000002,1.762500,0.400700,1.145700,0.048600,0.167500
3,1,48,0.87209999999999999,0.80100000000000005,1.577900,0.077600,1.297700,0.019500,0.183100
3,1,49,1.0802,1.0024999999999999,2.494700,0.085200,1.355300,0.018000,1.036200
3,1,50,0.878,0.80220000000000002,1.551200,0.074400,1.315900,0.015400,0.145500
3,1,51,1.8854,1.8080000000000001,7.067200,0.596200,3.996900,0.020900,2.453200
3,1,52,0.97240000000000004,0.9052,1.199100,0.078700,0.963700,0.014600,0.142100
3,1,53,2.2494000000000001,2.1435,4.203100,0.063700,1.344400,2.518100,0.276900
3,1,54,1.3548,0.88780000000000003,2.691100,0.226600,2.302800,0.017100,0.144600
3,1,55,0.93089999999999995,0.85040000000000004,1.945100,0.113800,1.668900,0.017200,0.145200
3,1,56,1.0276000000000001,0.94920000000000004,2.406400,0.492800,1.734200,0.023000,0.156400
3,1,57,1.1259999999999999,1.0116000000000001,1.305900,0.072800,1.063500,0.016500,0.153100
3,1,58,1.397,1.3127,3.837300,0.245100,3.419400,0.017000,0.155800
3,1,59,1.7332000000000001,1.4914000000000001,2.035600,0.078500,1.749000,0.029200,0.178900
3,1,60,1.2427999999999999,1.0506,3.039000,0.471900,2.234900,0.020800,0.311400
3,1,61,1.9635,1.6598999999999999,1.548300,0.061900,1.321300,0.017700,0.147400
3,1,62,1.2686999999999999,1.0587,1.106500,0.061700,0.900800,0.013800,0.130200
3,1,63,0.81159999999999999,0.74299999999999999,1.340600,0.060600,1.127500,0.014900,0.137600
3,1,64,0.65620000000000001,0.5827,1.836200,0.251100,1.339000,0.080000,0.166100
3,1,65,0.73040000000000005,0.64980000000000004,1.979800,0.070500,1.718100,0.017800,0.173400
3,1,66,1.2154,1.0333000000000001,1.147900,0.058700,0.927100,0.021400,0.140700
3,1,67,0.65800000000000003,0.60209999999999997,2.349800,0.083500,2.109500,0.017500,0.139300
3,1,68,0.67579999999999996,0.62390000000000001,1.131300,0.060500,0.927800,0.013200,0.129800
3,1,69,2.9539,2.8794,1.475000,0.069200,1.168500,0.023300,0.214000
3,1,70,0.93459999999999999,0.88349999999999995,1.442000,0.068800,1.209500,0.020100,0.143600
3,1,71,4.8240999999999996,4.4451000000000001,1.267700,0.063400,1.043300,0.020800,0.140200
3,1,72,2.6631,2.5981000000000001,2.376700,0.393000,1.813100,0.017500,0.153100
3,1,73,4.5403000000000002,4.4626999999999999,1.565500,0.078800,1.310600,0.018000,0.158100
3,1,74,4.5438000000000001,4.4683999999999999,2.049300,0.328100,1.538300,0.017600,0.165300
3,1,75,2.3206000000000002,2.2452999999999999,1.986400,0.151600,1.645400,0.031900,0.157500
3,1,76,3.9556,3.8757000000000001,1.287400,0.060500,1.063900,0.016800,0.146200
3,1,77,0.71379999999999999,0.66859999999999997,1.507300,0.065500,1.266600,0.018400,0.156800
3,1,78,3.2080000000000002,3.1379000000000001,2.552500,0.066700,1.550100,0.017600,0.918100
3,1,79,0.6976,0.65049999999999997,1.421200,0.071700,1.195100,0.015700,0.138700
3,1,80,3.2652999999999999,3.2046999999999999,2.371400,0.073000,2.014700,0.017300,0.266400
3,1,81,0.75290000000000001,0.70679999999999998,4.469700,0.093800,4.190600,0.018500,0.166800
3,1,82,5.2752999999999997,5.1984000000000004,1.852800,0.059100,1.589900,0.014800,0.189000
3,1,83,0.92020000000000002,0.872,1.418000,0.080100,1.146400,0.024200,0.167300
3,1,84,2.9803000000000002,2.9135,6.295600,0.079800,6.032700,0.020800,0.162300
3,1,85,1.742,1.3402000000000001,4.105300,0.077200,2.543200,0.018600,1.466300
3,1,86,3.5956999999999999,3.5205000000000002,2.255900,0.069600,2.025400,0.017700,0.143200
3,1,87,1.6774,1.6037999999999999,1.048900,0.061000,0.839800,0.013700,0.134400
3,1,88,0.92120000000000002,0.86599999999999999,1.326900,0.061000,1.088300,0.015500,0.162100
3,1,89,4.9878999999999998,4.9021999999999997,1.580700,0.065200,1.312800,0.016400,0.186300
3,1,90,4.4897,4.3860000000000001,1.581900,0.256000,1.156100,0.018900,0.150900
3,1,91,0.77090000000000003,0.71750000000000003,1.861000,0.064800,1.635600,0.020000,0.140600
3,1,92,3.3233000000000001,3.2458,27.226100,0.070700,26.991800,0.018200,0.145400
3,1,93,0.77659999999999996,0.71779999999999999,1.801500,0.070300,1.541100,0.018500,0.171600
3,1,94,0.54520000000000002,0.49940000000000001,1.600500,0.060000,1.311700,0.088100,0.140700
3,1,95,0.66549999999999998,0.61329999999999996,2.064300,0.186900,1.671700,0.023800,0.181900
3,1,96,0.78239999999999998,0.73089999999999999,2.873700,0.376700,2.303500,0.018000,0.175500
3,1,97,0.72770000000000001,0.67549999999999999,1.561300,0.069800,1.308300,0.018000,0.165200
3,1,98,2.6114000000000002,2.5348000000000002,1.647000,0.068600,1.415800,0.015900,0.146700
3,1,99,0.73209999999999997,0.68059999999999998,2.785200,0.072500,2.397000,0.031500,0.284200
3,1,100,0.52969999999999995,0.48070000000000002,2.082800,0.068100,1.847300,0.017100,0.150300
4,0,1,0.76859999999999995,0.70569999999999999,10.666200,0.061800,4.232200,0.021000,6.351200
4,0,2,0.65569999999999995,0.59160000000000001,1.623700,0.087100,1.335900,0.018200,0.182500
4,0,3,0.68240000000000001,0.61799999999999999,1.131700,0.062900,0.873200,0.024000,0.171600
4,0,4,0.55759999999999998,0.50629999999999997,1.461600,0.070900,1.173500,0.026100,0.191100
