run,enabled,index,total_ms,clamp_ms,show_ms,corners_ms,border_ms,total_cycles,total_kernel_ms,total_user_ms,show_cycles,show_kernel_ms,show_user_ms
2,1,86,2.423400,0.100500,2.039800,0.031700,0.251400,4587726,0.0,0.0,3768819,0.0,0.0
2,1,87,1.791700,0.284200,1.256400,0.031100,0.220000,3448967,0.0,0.0,2629641,0.0,0.0
2,1,88,4.138900,0.522100,3.314100,0.035600,0.267100,6692109,0.0,0.0,5740735,0.0,0.0
2,1,89,2.309500,0.098400,1.892000,0.044800,0.274300,4596740,0.0,0.0,3705520,0.0,0.0
2,1,90,3.541000,0.104700,2.762200,0.111000,0.563100,5671566,0.0,0.0,4056179,0.0,0.0
2,1,91,1.718900,0.098300,1.306700,0.041300,0.272600,3528407,0.0,0.0,2655632,0.0,0.0
2,1,92,1.313000,0.083200,1.014200,0.026800,0.188800,2743665,0.0,0.0,2108157,0.0,0.0
2,1,93,1.767800,0.083900,1.436200,0.030200,0.217500,3688331,0.0,0.0,2983865,0.0,0.0
2,1,94,2.747100,0.145700,2.144600,0.133400,0.323400,3822056,0.0,0.0,2712224,0.0,0.0
2,1,95,4.251500,0.093700,3.841100,0.031500,0.285200,6496339,0.0,0.0,5625032,0.0,0.0
2,1,96,6.540000,0.097600,5.725100,0.119700,0.597600,7275213,0.0,0.0,6072530,0.0,0.0
2,1,97,3.231400,0.102100,2.346700,0.062900,0.719700,4981143,0.0,0.0,3708453,0.0,0.0
2,1,98,5.424700,0.092300,4.659900,0.030200,0.642300,7162659,0.0,0.0,6160142,0.0,0.0
2,1,99,2.732900,0.176200,2.014000,0.040500,0.502200,4851400,0.0,0.0,3714111,0.0,0.0
2,1,100,2.229900,0.111600,1.838200,0.031200,0.248900,4521281,0.0,0.0,3684348,0.0,0.0
3,1,1,7.440500,0.084800,1.055600,0.026800,6.273300,12466167,0.0,15.625,2180469,0.0,0.0
3,1,2,2.016400,0.089000,1.670900,0.031300,0.225200,3960810,0.0,0.0,3218617,0.0,0.0
3,1,3,2.698200,0.095900,1.895900,0.034100,0.672300,4748492,15.625,0.0,3631740,0.0,0.0
3,1,4,1.681800,0.077600,1.268500,0.037600,0.298100,3491937,0.0,0.0,2627127,0.0,0.0
3,1,5,3.918700,0.088600,2.249800,0.083900,1.496400,5156158,0.0,0.0,3923712,0.0,0.0
3,1,6,2.662500,0.215700,1.942400,0.101500,0.402900,3943835,0.0,0.0,2876341,0.0,0.0
3,1,7,1.454400,0.081700,1.130400,0.030400,0.211900,3035846,0.0,0.0,2340184,0.0,0.0
3,1,8,1.977100,0.097600,1.616000,0.028000,0.235500,4029349,0.0,0.0,3274790,0.0,0.0
3,1,9,6.607700,0.083600,6.253900,0.028900,0.241300,6506823,0.0,0.0,5746395,0.0,0.0
3,1,10,1.786100,0.098900,1.438600,0.027900,0.220700,3748068,0.0,0.0,3005874,0.0,0.0
3,1,11,4.514800,0.957200,3.097300,0.029400,0.430900,5380433,0.0,0.0,2677012,0.0,0.0
3,1,12,1.988400,0.093400,1.628100,0.028800,0.238100,4036267,0.0,0.0,3285900,0.0,0.0
3,1,13,1.910800,0.079100,1.097600,0.028000,0.706100,3289882,0.0,0.0,2273321,0.0,0.0
3,1,14,4.495100,0.457400,3.711700,0.042400,0.283600,6991209,0.0,0.0,5831282,0.0,0.0
3,1,15,3.023900,0.156200,1.951000,0.031600,0.885100,4666325,15.625,0.0,3297847,15.625,0.0
3,1,16,4.496100,0.084900,2.718000,0.219000,1.474200,6437234,0.0,0.0,3671354,0.0,0.0
3,1,17,1.513400,0.079600,1.178600,0.033100,0.222100,3019287,0.0,0.0,2317128,0.0,0.0
3,1,18,2.329200,0.094200,1.964600,0.042400,0.228000,4195774,15.625,0.0,3412499,15.625,0.0
3,1,19,1.784100,0.092500,1.435300,0.031000,0.225300,3695250,0.0,0.0,2946977,0.0,0.0
3,1,20,2.139000,0.108800,1.739500,0.033100,0.257600,3573891,0.0,0.0,2723125,0.0,0.0
3,1,21,4.142200,0.082700,3.125900,0.241900,0.691700,6312104,0.0,0.0,5187181,0.0,0.0
3,1,22,1.926600,0.082600,1.410300,0.045200,0.388500,3365754,0.0,0.0,2385037,0.0,0.0
3,1,23,1.654300,0.079900,1.349000,0.031000,0.194400,3432200,0.0,0.0,2777200,0.0,0.0
3,1,24,3.243400,0.381700,2.512700,0.037200,0.311800,4871311,0.0,0.0,3676384,0.0,0.0
3,1,25,3.176600,0.109400,2.707700,0.069700,0.289800,6237906,0.0,0.0,5291981,0.0,0.0
3,1,26,2.757600,0.368500,2.116400,0.034000,0.238700,4519396,0.0,0.0,3471395,0.0,0.0
3,1,27,3.401300,0.091500,2.909200,0.028900,0.371700,4536373,0.0,0.0,3645992,0.0,0.0
3,1,28,5.594800,0.145600,2.656000,0.034000,2.759200,7705945,0.0,0.0,4063932,0.0,0.0
3,1,29,2.448000,0.087900,2.092500,0.036300,0.231300,3962696,0.0,0.0,3202897,0.0,0.0
3,1,30,10.018000,0.087700,9.228700,0.032000,0.669600,6978634,0.0,0.0,5960605,0.0,0.0
3,1,31,3.679300,0.265900,3.150000,0.038400,0.225000,5205204,0.0,0.0,4341234,0.0,0.0
3,1,32,3.592600,0.086800,3.250400,0.033700,0.221700,4326562,0.0,0.0,3595897,0.0,0.0
3,1,33,3.623000,0.082500,2.598800,0.107000,0.834700,4684979,0.0,0.0,3548527,0.0,0.0
3,1,34,2.069500,0.098700,1.694900,0.028600,0.247300,4006293,0.0,0.0,3204364,0.0,0.0
3,1,35,4.008700,0.165100,3.369900,0.027500,0.446200,4990369,0.0,0.0,3988271,0.0,0.0
3,1,36,2.819400,0.121600,2.429100,0.031500,0.237200,5626713,0.0,0.0,2727525,0.0,0.0
3,1,37,2.082300,0.091500,1.728100,0.030400,0.232300,4014890,0.0,0.0,3257813,0.0,0.0
3,1,38,2.957600,0.090100,2.503100,0.033100,0.331300,3552510,0.0,0.0,2612035,0.0,0.0
3,1,39,2.348900,0.123400,1.888100,0.035000,0.302400,4810948,15.625,0.0,3833794,0.0,0.0
3,1,40,4.918900,0.147600,4.430600,0.042300,0.298400,7741997,0.0,0.0,6753942,0.0,0.0
3,1,41,2.309700,0.123500,1.836100,0.046500,0.303600,4568442,0.0,0.0,3533436,0.0,0.0
3,1,42,3.312200,0.109500,2.845500,0.034800,0.322400,6707200,0.0,0.0,5719356,0.0,0.0
3,1,43,3.104100,0.105000,2.627500,0.035400,0.336200,5252785,0.0,0.0,4274372,0.0,0.0
3,1,44,3.216500,0.083900,2.853400,0.032300,0.246900,4717887,15.625,0.0,3942577,15.625,0.0
3,1,45,1.903400,0.076200,1.581400,0.032800,0.213000,3352971,0.0,0.0,2658776,0.0,0.0
3,1,46,2.508100,0.096000,2.105800,0.034000,0.272300,4560686,0.0,0.0,3705099,0.0,0.0
3,1,47,1.914500,0.097600,1.588700,0.030900,0.197300,3600720,0.0,0.0,2903380,0.0,0.0
