run,sample,total_ms,prelude_ms,pool_ms,validation_ms,move_ms,build_return_ms,assert_hwnd_ms,recycle_prelude_ms,hide_ms,recycle_return_ms,assert_recycled_ms
1,100,0.5689,0.0359,0.0266,0.008,0.4052,0.0366,0.0071,0.0071,0.0123,0.0167,0.0134
2,1,0.5196,0.0353,0.0286,0.0068,0.3592,0.0379,0.0081,0.0063,0.0111,0.0144,0.0119
2,2,0.4358,0.0252,0.0183,0.0054,0.2934,0.0497,0.0061,0.0051,0.0102,0.0123,0.0101
2,3,0.6097,0.021,0.0159,0.0047,0.292,0.0339,0.0082,0.0127,0.0169,0.1029,0.1015
2,4,0.6192,0.0278,0.047,0.0063,0.4495,0.04,0.0064,0.0056,0.0115,0.0131,0.012
2,5,0.4132,0.0219,0.0176,0.0047,0.2953,0.0305,0.0071,0.0052,0.0102,0.0113,0.0094
2,6,0.4034,0.0193,0.0144,0.0045,0.2912,0.0322,0.0061,0.0049,0.0099,0.0117,0.0092
2,7,0.3962,0.02,0.0146,0.0046,0.2847,0.0316,0.0055,0.005,0.0097,0.0116,0.0089
2,8,1.369,0.0191,0.014,0.0043,1.0669,0.0609,0.0107,0.009,0.1318,0.0306,0.0217
2,9,1.1164,0.0434,0.032,0.0091,0.831,0.0607,0.0117,0.0124,0.0701,0.0275,0.0185
2,10,0.8197,0.0383,0.0269,0.0087,0.5552,0.0419,0.0079,0.0081,0.0856,0.0291,0.018
2,11,0.5999,0.0391,0.0269,0.0093,0.4017,0.0317,0.0061,0.006,0.0507,0.0162,0.0122
2,12,0.5246,0.0267,0.0187,0.006,0.2911,0.027,0.0056,0.0058,0.0996,0.0285,0.0156
2,13,0.8718,0.0339,0.0259,0.0082,0.5274,0.0994,0.0093,0.008,0.1198,0.0241,0.0158
2,14,0.6602,0.0324,0.0244,0.0077,0.4488,0.0351,0.0062,0.0069,0.065,0.0198,0.0139
2,15,0.4537,0.0289,0.022,0.0067,0.3089,0.0398,0.0081,0.0064,0.0102,0.0128,0.0099
2,16,0.5382,0.021,0.0158,0.0048,0.3464,0.0279,0.0062,0.0058,0.0785,0.0211,0.0107
2,17,0.5536,0.0217,0.0163,0.0053,0.3516,0.0305,0.0059,0.0062,0.0809,0.0231,0.0121
2,18,0.5889,0.0294,0.0209,0.0066,0.4308,0.0393,0.007,0.0077,0.0132,0.0191,0.0149
2,19,0.6496,0.0322,0.0227,0.0083,0.3905,0.0371,0.0066,0.0067,0.109,0.0221,0.0144
2,20,0.5201,0.0315,0.0197,0.0074,0.3435,0.0321,0.0066,0.0055,0.0439,0.0179,0.012
2,21,0.41,0.0258,0.0172,0.0059,0.2795,0.0305,0.0069,0.0065,0.0118,0.014,0.0119
2,22,0.4539,0.0252,0.0197,0.0065,0.2762,0.0278,0.0057,0.0056,0.0598,0.016,0.0114
2,23,0.4499,0.0242,0.0174,0.0059,0.3166,0.0322,0.0064,0.0067,0.0123,0.0162,0.012
